,title,date,type,CVE,lien,description,CVSS,EPSS,version,product,editeur,CWE,base_severity
CERTFR-2024-ALE-008,[MàJ] Vulnérabilité dans les produits Check Point ,2024-05-28,alerte,CVE-2024-24919,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/,Potentially allowing an attacker to read certain information on Check Point Security Gateways once connected to the internet and enabled with remote Access VPN or Mobile Access Software Blades. A Security fix that mitigates this vulnerability is available.,8.6,0.958180000,"['Check Point Quantum Gateway and CloudGuard Network versions R81.20, R81.10, R81, R80.40 and Check Point Spark versions R81.10, R80.20.']","Check Point Quantum Gateway, Spark Gateway and CloudGuard Network",checkpoint,CWE-200,HIGH
CERTFR-2024-ALE-011,Vulnérabilité dans SonicWall,2024-08-23,alerte,CVE-2024-40766,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,"An improper access control vulnerability has been identified in the SonicWall SonicOS management access, potentially leading to unauthorized resource access and in specific conditions, causing the firewall to crash. This issue affects SonicWall Firewall Gen 5 and Gen 6 devices, as well as Gen 7 devices running SonicOS 7.0.1-5035 and older versions.",,0.008190000,"['5.9.2.14-12o and older versions', '6.5.4.14-109n and older versions', '7.0.1-5035 and older versions']",SonicOS,SonicWall,CWE-284,LOW
CERTFR-2024-ALE-014,[MàJ] Multiples vulnérabilités dans Fortinet FortiManager,2024-10-23,alerte,CVE-2024-50566,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/,"A improper neutralization of special elements used in an os command ('os command injection') in Fortinet FortiManager versions 7.6.0 through 7.6.1, versions 7.4.5 through 7.4.0, and versions 7.2.1 through 7.2.8, FortiManager Cloud versions 7.6.0 through 7.6.1, versions 7.4.0 through 7.4.4, and versions 7.2.2 through 7.2.7 may allow an authenticated remote attacker to execute unauthorized code via FGFM crafted requests.",7.2,0.871460000,"['7.6.0', '7.4.0', '7.2.1']",FortiManager,Fortinet,CWE-78,HIGH
CERTFR-2025-ALE-001,[MàJ] Vulnérabilité dans les produits Ivanti,2025-01-08,alerte,CVE-2025-0283,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a local authenticated attacker to escalate their privileges.",7,0.000430000,[],Neurons for ZTA gateways,Ivanti,CWE-121,HIGH
CERTFR-2025-ALE-005,Vulnérabilité dans SAP NetWeaver,2025-04-24,alerte,CVE-2025-31324,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-005/,"SAP NetWeaver Visual Composer Metadata Uploader is not protected with a proper authorization, allowing unauthenticated agent to upload potentially malicious executable binaries that could severely harm the host system. This could significantly affect the confidentiality, integrity, and availability of the targeted system.",10,0.809970000,['VCFRAMEWORK 7.50'],SAP NetWeaver (Visual Composer development server),SAP_SE,CWE-434,CRITICAL
CERTFR-2025-ALE-007,Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (EPMM),2025-05-13,alerte,CVE-2025-4428,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-007/,Remote Code Execution in API component in Ivanti Endpoint Manager Mobile 12.5.0.0 and prior on unspecified platforms allows authenticated attackers to execute arbitrary code via crafted API requests.,7.2,0.389460000,[],Endpoint Manager Mobile,Ivanti,CWE-94,HIGH
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,,Avis,CVE-2022-23960,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0003/,"Certain Arm Cortex and Neoverse processors through 2022-03-08 do not properly restrict cache speculation, aka Spectre-BHB. An attacker can leverage the shared branch history in the Branch History Buffer (BHB) to influence mispredicted branches. Then, cache allocation can allow the attacker to obtain sensitive information.",,0.000550000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0008,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-25647,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0008/,"The package com.google.code.gson:gson before 2.8.9 are vulnerable to Deserialization of Untrusted Data via the writeReplace() method in internal classes, which may lead to DoS attacks.",7.7,0.005150000,['unspecified'],com.google.code.gson:gson,n/a,Non disponible,HIGH
CERTFR-2023-AVI-0012,Multiples vulnérabilités dans IBM Sterling,,Avis,CVE-2022-31690,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0012/,"Spring Security, versions 5.7 prior to 5.7.5, and 5.6 prior to 5.6.9, and older unsupported versions could be susceptible to a privilege escalation under certain conditions. A malicious user or attacker can modify a request initiated by the Client (via the browser) to the Authorization Server which can lead to a privilege escalation on the subsequent approval. This scenario can happen if the Authorization Server responds with an OAuth2 Access Token Response containing an empty scope list (per RFC 6749, Section 5.1) on the subsequent request to the token endpoint to obtain the access token.",,0.002410000,"['Spring Security (5.7 to 5.7.4 and 5.6 to 5.6.8 as well as older, unsupported versions)']",Spring Security,n/a,Non disponible,LOW
CERTFR-2023-AVI-0015,Multiples vulnérabilités dans les produits Siemens,,Avis,CVE-2022-32212,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0015/,"A OS Command Injection vulnerability exists in Node.js versions <14.20.0, <16.20.0, <18.5.0 due to an insufficient IsAllowedHost check that can easily be bypassed because IsIPAddress does not properly check if an IP address is invalid before making DBS requests allowing rebinding attacks.",,0.001080000,"['Fixed in 14.20.1+, 16.17.1+,18.9.1+']",https://github.com/nodejs/node,n/a,CWE-284,LOW
CERTFR-2023-AVI-0027,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-3623,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0027/,A vulnerability was found in Linux Kernel. It has been declared as problematic. Affected by this vulnerability is the function follow_page_pte of the file mm/gup.c of the component BPF. The manipulation leads to race condition. The attack can be launched remotely. It is recommended to apply a patch to fix this issue. The identifier VDB-211921 was assigned to this vulnerability.,5,0.001890000,['n/a'],Kernel,Linux,CWE-362,MEDIUM
CERTFR-2023-AVI-0028,Multiples vulnérabilités dans le noyau Linux de Red Hat,,Avis,CVE-2022-2964,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0028/,A flaw was found in the Linux kernel’s driver for the ASIX AX88179_178A-based USB 2.0/3.0 Gigabit Ethernet Devices. The vulnerability contains multiple out-of-bounds reads and possible out-of-bounds writes.,,0.000440000,['kernel 5.17'],kernel,n/a,CWE-119,LOW
CERTFR-2023-AVI-0030,Multiples vulnérabilités les produits NetApp,,Avis,CVE-2022-28131,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0030/,Uncontrolled recursion in Decoder.Skip in encoding/xml before Go 1.17.12 and Go 1.18.4 allows an attacker to cause a panic due to stack exhaustion via a deeply nested XML document.,,0.001870000,"['0', '1.18.0-0']",encoding/xml,Go standard library,Non disponible,LOW
CERTFR-2023-AVI-0047,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-43750,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0047/,drivers/usb/mon/mon_bin.c in usbmon in the Linux kernel before 5.19.15 and 6.x before 6.0.1 allows a user-space client to corrupt the monitor's internal memory.,,0.000540000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2023-AVI-0051,Multiples vulnérabilités dans les produits Juniper,,Avis,CVE-2022-21299,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0051/,"Vulnerability in the Oracle Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 7u321, 8u311, 11.0.13, 17.0.1; Oracle GraalVM Enterprise Edition: 20.3.4 and 21.3.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Java SE, Oracle GraalVM Enterprise Edition. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 5.3 (Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L).",5.3,0.000490000,"['Oracle Java SE:7u321', 'Oracle Java SE:8u311', 'Oracle Java SE:11.0.13', 'Oracle Java SE:17.0.1', 'Oracle GraalVM Enterprise Edition:20.3.4', 'Oracle GraalVM Enterprise Edition:21.3.0']",Java SE JDK and JRE,Oracle Corporation,Non disponible,MEDIUM
CERTFR-2023-AVI-0056,Multiples vulnérabilités dans les produits Apple,,Avis,CVE-2022-32221,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0056/,"When doing HTTP(S) transfers, libcurl might erroneously use the read callback (`CURLOPT_READFUNCTION`) to ask for data to send, even when the `CURLOPT_POSTFIELDS` option has been set, if the same handle previously was used to issue a `PUT` request which used that callback. This flaw may surprise the application and cause it to misbehave and either send off the wrong data or use memory after free or similar in the subsequent `POST` request. The problem exists in the logic for a reused handle when it is changed from a PUT to a POST.",,0.003460000,['Fixed in 7.86.0'],https://github.com/curl/curl,n/a,CWE-200,LOW
CERTFR-2023-AVI-0059,Multiples vulnérabilités dans ISC BIND,,Avis,CVE-2022-3094,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0059/,"Sending a flood of dynamic DNS updates may cause `named` to allocate large amounts of memory. This, in turn, may cause `named` to exit due to a lack of free memory. We are not aware of any cases where this has been exploited.

Memory is allocated prior to the checking of access permissions (ACLs) and is retained during the processing of a dynamic update from a client whose access credentials are accepted. Memory allocated to clients that are not permitted to send updates is released immediately upon rejection. The scope of this vulnerability is limited therefore to trusted clients who are permitted to make dynamic zone changes.

If a dynamic update is REFUSED, memory will be released again very quickly. Therefore it is only likely to be possible to degrade or stop `named` by sending a flood of unaccepted dynamic updates comparable in magnitude to a query flood intended to achieve the same detrimental outcome.

BIND 9.11 and earlier branches are also affected, but through exhaustion of internal resources rather than memory constraints. This may reduce performance but should not be a significant problem for most servers. Therefore we don't intend to address this for BIND versions prior to BIND 9.16.
This issue affects BIND 9 versions 9.16.0 through 9.16.36, 9.18.0 through 9.18.10, 9.19.0 through 9.19.8, and 9.16.8-S1 through 9.16.36-S1.",7.5,0.000930000,"['9.16.0', '9.18.0', '9.19.0', '9.16.8-S1']",BIND 9,ISC,Non disponible,HIGH
CERTFR-2023-AVI-0066,Multiples vulnérabilités dans le noyau Linux de SUSE,,Avis,CVE-2022-3564,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0066/,A vulnerability classified as critical was found in Linux Kernel. Affected by this vulnerability is the function l2cap_reassemble_sdu of the file net/bluetooth/l2cap_core.c of the component Bluetooth. The manipulation leads to use after free. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-211087.,5.5,0.000450000,['n/a'],Kernel,Linux,CWE-119,MEDIUM
CERTFR-2023-AVI-0067,Multiples vulnérabilités dans le noyau Linux de Red Hat,,Avis,CVE-2022-4139,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0067/,"An incorrect TLB flush issue was found in the Linux kernel’s GPU i915 kernel driver, potentially leading to random memory corruption or data leaks. This flaw could allow a local user to crash the system or escalate their privileges on the system.",,0.000420000,['kernel 6.1-rc7'],kernel,n/a,CWE-281,LOW
CERTFR-2023-AVI-0073,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-21248,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0073/,"Vulnerability in the Oracle Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: Serialization). Supported versions that are affected are Oracle Java SE: 7u321, 8u311, 11.0.13, 17.0.1; Oracle GraalVM Enterprise Edition: 20.3.4 and 21.3.0. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 3.7 (Integrity impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N).",3.7,0.000500000,"['Oracle Java SE:7u321', 'Oracle Java SE:8u311', 'Oracle Java SE:11.0.13', 'Oracle Java SE:17.0.1', 'Oracle GraalVM Enterprise Edition:20.3.4', 'Oracle GraalVM Enterprise Edition:21.3.0']",Java SE JDK and JRE,Oracle Corporation,Non disponible,LOW
CERTFR-2023-AVI-0076,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2022-23437,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0076/,"There's a vulnerability within the Apache Xerces Java (XercesJ) XML parser when handling specially crafted XML document payloads. This causes, the XercesJ XML parser to wait in an infinite loop, which may sometimes consume system resources for prolonged duration. This vulnerability is present within XercesJ version 2.12.1 and the previous versions.",,0.004510000,['Apache XercesJ'],Apache Xerces,Apache Software Foundation,Non disponible,LOW
CERTFR-2023-AVI-0086,Multiples vulnérabilités dans les produits IBM,,Avis,CVE-2021-35550,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0086/,"Vulnerability in the Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: JSSE). Supported versions that are affected are Java SE: 7u311, 8u301, 11.0.12; Oracle GraalVM Enterprise Edition: 20.3.3 and 21.2.0. Difficult to exploit vulnerability allows unauthenticated attacker with network access via TLS to compromise Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access to critical data or complete access to all Java SE, Oracle GraalVM Enterprise Edition accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 5.9 (Confidentiality impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N).",5.9,0.003010000,"['Java SE:7u311', 'Java SE:8u301', 'Java SE:11.0.12', 'Oracle GraalVM Enterprise Edition:20.3.3', 'Oracle GraalVM Enterprise Edition:21.2.0']",Java SE JDK and JRE,Oracle Corporation,Non disponible,MEDIUM
CERTFR-2023-AVI-0091,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,Avis,CVE-2022-43945,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0091/,The Linux kernel NFSD implementation prior to versions 5.19.17 and 6.0.2 are vulnerable to buffer overflow. NFSD tracks the number of pages held by each NFSD thread by combining the receive and send buffers of a remote procedure call (RPC) into a single array of pages. A client can force the send buffer to shrink by sending an RPC message over TCP with garbage data added at the end of the message. The RPC message with garbage data is still correctly formed according to the specification and is passed forward to handlers. Vulnerable code in NFSD is not expecting the oversized request and writes beyond the allocated buffer space. CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,,0.001300000,['< 6.0.2'],linux_kernel,linux,CWE-131,LOW
CERTFR-2023-AVI-0092,Multiples vulnérabilités dans le noyau Linux de RedHat,,Avis,CVE-2022-4139,https://www.cert.ssi.gouv.fr/Avis/CERTFR-2023-AVI-0092/,"An incorrect TLB flush issue was found in the Linux kernel’s GPU i915 kernel driver, potentially leading to random memory corruption or data leaks. This flaw could allow a local user to crash the system or escalate their privileges on the system.",,0.000420000,['kernel 6.1-rc7'],kernel,n/a,CWE-281,LOW
